ID,Allocentric Before Turn,Egocentric Turn Type,Allocentric After Turn,Timestamp Entry,Timestamp Exit,Alley Exited,Intersection,Alley Entered
182,1,1,1,2672458529,2672591380,16,E,2
183,1,2,2,2673225920,2673358409,2,A,0
184,2,1,2,2674694154,2674993604,0,B,4
185,2,1,2,2675760149,2675995891,4,C,6
186,2,2,3,2676796232,2676962535,6,D,7
187,3,1,3,2677831231,2678331195,7,H,9
188,3,2,4,2679731471,2679864897,9,L,10
189,4,1,4,2680966629,2681266574,10,K,13
190,4,1,4,2689141746,2689508290,13,J,15
191,4,2,1,2689942016,2690008373,15,I,16
192,1,1,1,2690343391,2690543662,16,E,2
193,1,2,2,2691309677,2691409060,2,A,0
194,2,1,2,2691776806,2692011538,0,B,4
195,2,1,2,2692611694,2692877456,4,C,6
196,2,2,3,2693645906,2693778991,6,D,7
197,3,1,3,2694647738,2695014810,7,H,9
198,3,2,4,2696849977,2696982481,9,L,10
199,4,1,4,2697815802,2698117004,10,K,13
200,4,1,4,2704689928,2705058482,13,J,15
201,4,2,1,2706091494,2706158105,15,I,16
202,1,1,1,2706491882,2706625110,16,E,2
203,1,2,2,2707559668,2707659979,2,A,0
204,2,1,2,2708926955,2709160767,0,B,4
205,2,1,2,2709927905,2710295734,4,C,6
206,2,2,3,2711329340,2711564946,6,D,7
207,3,1,3,2712766099,2713032016,7,H,9
208,3,2,4,2717502675,2717570034,9,L,10
209,4,1,4,2718404592,2718637519,10,K,13
210,4,1,4,2719304687,2719771308,13,J,15
211,2,4,1,2720305373,2720571800,15,J,14
212,1,1,1,2722074134,2722507376,14,F,3
213,1,2,2,2725511562,2725943968,3,B,4
214,2,1,2,2726779457,2727045036,4,C,6
215,2,2,3,2727912957,2728046619,6,D,7
216,3,1,3,2729282210,2729714191,7,H,9
217,1,4,4,2731017259,2731284054,9,H,8
218,4,2,1,2735088174,2735488023,8,G,5
219,1,2,2,2736688773,2737054668,5,C,6
220,4,4,3,2738257085,2739492066,6,C,5
221,3,2,4,2742761113,2743095617,5,G,12
222,2,2,3,2743596789,2743627880,12,G,11
223,1,2,2,2748201529,2748666571,11,G,8
224,4,2,1,2749602063,2749702869,8,G,5
225,1,2,2,2751269817,2751469474,5,C,6
226,2,2,3,2752504151,2752706332,6,D,7
227,3,1,3,2753706261,2754006518,7,H,9
228,3,2,4,2755074634,2755173598,9,L,10
229,4,1,4,2755975168,2756175143,10,K,13
230,4,1,4,2766452870,2766719591,13,J,15
231,4,2,1,2767252227,2767317910,15,I,16
232,1,1,1,2767652964,2767853981,16,E,2
233,1,2,2,2768687043,2768788532,2,A,0
234,2,1,2,2769421299,2769654314,0,B,4
235,2,1,2,2770454425,2770688931,4,C,6
236,2,2,3,2771690920,2771824727,6,D,7
237,3,1,3,2773158942,2773559238,7,H,9
238,1,4,4,2774458952,2774626869,9,H,8
239,4,1,4,2775694834,2776328836,8,G,12
240,4,1,4,2777663018,2778663816,12,F,1
241,2,2,3,2794847149,2795047047,1,F,14
242,3,2,4,2797315932,2798083350,14,J,15
243,4,2,1,2799051476,2799117133,15,I,16
244,1,1,1,2799483789,2799651518,16,E,2
245,1,2,2,2800452443,2800554087,2,A,0
246,2,1,2,2801186178,2801419379,0,B,4
247,2,1,2,2802756160,2802987824,4,C,6
248,2,2,3,2815500622,2815734073,6,D,7
249,3,1,3,2823509074,2823842811,7,H,9
250,3,2,4,2825011114,2825109765,9,L,10
251,4,1,4,2825810821,2826044525,10,K,13
252,4,1,4,2827077413,2827312059,13,J,15
253,2,4,1,2827980194,2828180169,15,J,14
254,1,1,1,2828614724,2828913894,14,F,3
255,1,2,2,2830515650,2830881803,3,B,4
256,2,1,2,2832051270,2832384294,4,C,6
257,4,4,3,2833785001,2833885553,6,C,5
258,3,2,4,2834987269,2835086884,5,G,12
