rate,cell,alley,trial,texture,reward,spatialBin
2.1400661634962708,0,16,17,C,0,11
0.0,0,16,18,B,0,0
1.791759469228055,0,16,18,B,0,1
2.3978952727983707,0,16,18,B,0,2
2.3978952727983707,0,16,18,B,0,3
2.6026896854443837,0,16,18,B,0,4
2.662587827025453,0,16,18,B,0,5
2.5208683674260026,0,16,18,B,0,6
2.2903898199002275,0,16,18,B,0,7
2.050621103144344,0,16,18,B,0,8
1.9459101490553132,0,16,18,B,0,9
2.1400661634962708,0,16,18,B,0,10
2.772588722239781,0,16,18,B,0,11
0.0,0,16,19,A,0,0
1.252762968495368,0,16,19,A,0,1
2.03688192726104,0,16,19,A,0,2
2.1400661634962708,0,16,19,A,0,3
2.1400661634962708,0,16,19,A,0,4
2.3191143949452564,0,16,19,A,0,5
2.1400661634962708,0,16,19,A,0,6
1.791759469228055,0,16,19,A,0,7
1.791759469228055,0,16,19,A,0,8
2.6026896854443837,0,16,19,A,0,9
3.1570004211501135,0,16,19,A,0,10
3.1570004211501135,0,16,19,A,0,11
0.0,0,16,20,C,0,0
0.0,0,16,20,C,0,1
0.0,0,16,20,C,0,2
1.791759469228055,0,16,20,C,0,3
2.3978952727983707,0,16,20,C,0,4
2.1400661634962708,0,16,20,C,0,5
2.2587824703356527,0,16,20,C,0,6
2.6026896854443837,0,16,20,C,0,7
2.4454478130474526,0,16,20,C,0,8
2.082413312068993,0,16,20,C,0,9
2.359280436670591,0,16,20,C,0,10
2.917770732084279,0,16,20,C,0,11
3.1570004211501135,0,16,21,A,1,0
2.772588722239781,0,16,21,A,1,1
2.1400661634962708,0,16,21,A,1,2
1.791759469228055,0,16,21,A,1,3
2.1400661634962708,0,16,21,A,1,4
2.6026896854443837,0,16,21,A,1,5
2.3978952727983707,0,16,21,A,1,6
1.7047480922384253,0,16,21,A,1,7
1.6094379124341003,0,16,21,A,1,8
1.0986122886681098,0,16,21,A,1,9
1.9810014688665833,0,16,21,A,1,10
2.9831534913471307,0,16,21,A,1,11
2.1400661634962708,0,16,22,B,1,0
2.2335922215070942,0,16,22,B,1,1
2.2335922215070942,0,16,22,B,1,2
1.4663370687934272,0,16,22,B,1,3
2.1400661634962708,0,16,22,B,1,4
2.772588722239781,0,16,22,B,1,5
2.4709204078132605,0,16,22,B,1,6
2.3191143949452564,0,16,22,B,1,7
2.5006550067561393,0,16,22,B,1,8
2.2207550747464135,0,16,22,B,1,9
1.349926716949016,0,16,22,B,1,10
0.0,0,16,22,B,1,11
1.55814461804655,0,16,23,B,0,0
1.791759469228055,0,16,23,B,0,1
1.252762968495368,0,16,23,B,0,2
2.3978952727983707,0,16,23,B,0,3
3.044522437723423,0,16,23,B,0,4
2.662587827025453,0,16,23,B,0,5
2.03688192726104,0,16,23,B,0,6
1.9218125974762528,0,16,23,B,0,7
2.3978952727983707,0,16,23,B,0,8
2.917770732084279,0,16,23,B,0,9
2.772588722239781,0,16,23,B,0,10
2.1400661634962708,0,16,23,B,0,11
1.252762968495368,0,16,24,A,0,0
1.4663370687934272,0,16,24,A,0,1
0.9808292530117263,0,16,24,A,0,2
1.252762968495368,0,16,24,A,0,3
2.277267285009756,0,16,24,A,0,4
2.6026896854443837,0,16,24,A,0,5
2.413998680364949,0,16,24,A,0,6
2.082413312068993,0,16,24,A,0,7
2.111655161663491,0,16,24,A,0,8
2.3191143949452564,0,16,24,A,0,9
2.3978952727983707,0,16,24,A,0,10
2.505525936990736,0,16,24,A,0,11
2.1400661634962708,0,16,25,C,1,0
2.3978952727983707,0,16,25,C,1,1
1.791759469228055,0,16,25,C,1,2
0.0,0,16,25,C,1,3
1.252762968495368,0,16,25,C,1,4
2.03688192726104,0,16,25,C,1,5
2.0212321555939123,0,16,25,C,1,6
1.8863478879039701,0,16,25,C,1,7
2.2207550747464135,0,16,25,C,1,8
2.1400661634962708,0,16,25,C,1,9
1.252762968495368,0,16,25,C,1,10
0.0,0,16,25,C,1,11
2.1400661634962708,0,16,26,C,0,0
2.3978952727983707,0,16,26,C,0,1
1.791759469228055,0,16,26,C,0,2
0.0,0,16,26,C,0,3
1.0360919316867758,0,16,26,C,0,4
1.9652033519899923,0,16,26,C,0,5
2.4115753767024506,0,16,26,C,0,6
2.3191143949452564,0,16,26,C,0,7
1.4663370687934272,0,16,26,C,0,8
0.0,0,16,26,C,0,9
2.1400661634962708,0,16,26,C,0,10
3.1570004211501135,0,16,26,C,0,11
1.791759469228055,0,16,27,A,1,0
0.9808292530117263,0,16,27,A,1,1
0.8109302162163288,0,16,27,A,1,2
1.5040773967762742,0,16,27,A,1,3
1.9095425048844386,0,16,27,A,1,4
2.1400661634962708,0,16,27,A,1,5
1.9538153285624267,0,16,27,A,1,6
1.3932148039644645,0,16,27,A,1,7
1.2916783847450415,0,16,27,A,1,8
1.8588987720656835,0,16,27,A,1,9
2.187922184673906,0,16,27,A,1,10
2.277267285009756,0,16,27,A,1,11
2.1400661634962708,0,16,28,B,0,0
1.252762968495368,0,16,28,B,0,1
0.0,0,16,28,B,0,2
1.252762968495368,0,16,28,B,0,3
1.791759469228055,0,16,28,B,0,4
1.9218125974762528,0,16,28,B,0,5
2.3191143949452564,0,16,28,B,0,6
2.2335922215070942,0,16,28,B,0,7
1.252762968495368,0,16,28,B,0,8
1.0986122886681098,0,16,28,B,0,9
1.791759469228055,0,16,28,B,0,10
1.9459101490553132,0,16,28,B,0,11
1.55814461804655,0,16,29,C,1,0
1.791759469228055,0,16,29,C,1,1
2.1400661634962708,0,16,29,C,1,2
2.662587827025453,0,16,29,C,1,3
2.538973871058276,0,16,29,C,1,4
2.2335922215070942,0,16,29,C,1,5
2.49764567556543,0,16,29,C,1,6
2.4545355519117016,0,16,29,C,1,7
2.177080011243752,0,16,29,C,1,8
1.4663370687934272,0,16,29,C,1,9
0.0,0,16,29,C,1,10
0.0,0,16,29,C,1,11
2.005333569526114,0,17,0,A,1,0
1.1451323043030026,0,17,0,A,1,1
0.8109302162163288,0,17,0,A,1,2
1.252762968495368,0,17,0,A,1,3
0.9192275915474646,0,17,0,A,1,4
0.415221283053529,0,17,0,A,1,5
0.42861553634119387,0,17,0,A,1,6
0.8708283577973975,0,17,0,A,1,7
1.0799201556559572,0,17,0,A,1,8
0.6061358035703156,0,17,0,A,1,9
0.0,0,17,0,A,1,10
0.0,0,17,0,A,1,11
0.0,0,17,1,B,0,0
0.0,0,17,1,B,0,1
0.0,0,17,1,B,0,2
0.2135741002980591,0,17,1,B,0,3
0.38946476676172315,0,17,1,B,0,4
0.2135741002980591,0,17,1,B,0,5
0.0,0,17,1,B,0,6
0.0,0,17,1,B,0,7
1.791759469228055,0,17,1,B,0,8
2.3978952727983707,0,17,1,B,0,9
1.791759469228055,0,17,1,B,0,10
0.0,0,17,1,B,0,11
1.791759469228055,0,17,2,A,0,0
0.9808292530117263,0,17,2,A,0,1
0.0,0,17,2,A,0,2
0.0,0,17,2,A,0,3
0.0,0,17,2,A,0,4
0.0,0,17,2,A,0,5
0.0,0,17,2,A,0,6
0.0,0,17,2,A,0,7
0.0,0,17,2,A,0,8
0.0,0,17,2,A,0,9
0.0,0,17,2,A,0,10
0.0,0,17,2,A,0,11
0.0,0,17,3,B,0,0
0.0,0,17,3,B,0,1
0.0,0,17,3,B,0,2
0.0,0,17,3,B,0,3
0.0,0,17,3,B,0,4
0.0,0,17,3,B,0,5
0.0,0,17,3,B,0,6
0.0,0,17,3,B,0,7
0.0,0,17,3,B,0,8
0.0,0,17,3,B,0,9
0.0,0,17,3,B,0,10
0.0,0,17,3,B,0,11
0.0,0,17,4,C,0,0
1.252762968495368,0,17,4,C,0,1
1.791759469228055,0,17,4,C,0,2
1.252762968495368,0,17,4,C,0,3
0.0,0,17,4,C,0,4
0.0,0,17,4,C,0,5
0.0,0,17,4,C,0,6
0.0,0,17,4,C,0,7
0.0,0,17,4,C,0,8
0.0,0,17,4,C,0,9
1.791759469228055,0,17,4,C,0,10
2.772588722239781,0,17,4,C,0,11
2.772588722239781,0,17,5,C,1,0
1.791759469228055,0,17,5,C,1,1
0.0,0,17,5,C,1,2
0.0,0,17,5,C,1,3
0.2265276492984503,0,17,5,C,1,4
0.4110989258264204,0,17,5,C,1,5
0.3966230841540662,0,17,5,C,1,6
0.38193461069797024,0,17,5,C,1,7
0.2090917978585594,0,17,5,C,1,8
1.252762968495368,0,17,5,C,1,9
1.791759469228055,0,17,5,C,1,10
1.55814461804655,0,17,5,C,1,11
2.1400661634962708,0,17,6,B,1,0
1.252762968495368,0,17,6,B,1,1
0.0,0,17,6,B,1,2
0.23090555664969903,0,17,6,B,1,3
0.5780945220264193,0,17,6,B,1,4
0.5800098645004882,0,17,6,B,1,5
0.2336148511815051,0,17,6,B,1,6
0.0,0,17,6,B,1,7
0.4855078157817008,0,17,6,B,1,8
1.3652409519220583,0,17,6,B,1,9
1.6010696627635839,0,17,6,B,1,10
1.252762968495368,0,17,6,B,1,11
1.791759469228055,0,17,7,A,0,0
0.9808292530117263,0,17,7,A,0,1
0.0,0,17,7,A,0,2
0.6325225587435105,0,17,7,A,0,3
1.0169342576538425,0,17,7,A,0,4
0.6325225587435105,0,17,7,A,0,5
0.6061358035703156,0,17,7,A,0,6
0.9808292530117263,0,17,7,A,0,7
0.6061358035703156,0,17,7,A,0,8
0.0,0,17,7,A,0,9
0.0,0,17,7,A,0,10
0.0,0,17,7,A,0,11
1.252762968495368,0,17,8,B,0,0
0.6061358035703156,0,17,8,B,0,1
0.0,0,17,8,B,0,2
0.0,0,17,8,B,0,3
0.0,0,17,8,B,0,4
0.0,0,17,8,B,0,5
0.0,0,17,8,B,0,6
0.0,0,17,8,B,0,7
0.0,0,17,8,B,0,8
0.0,0,17,8,B,0,9
0.0,0,17,8,B,0,10
0.0,0,17,8,B,0,11
0.0,0,17,9,A,0,0
0.0,0,17,9,A,0,1
0.0,0,17,9,A,0,2
0.0,0,17,9,A,0,3
0.0,0,17,9,A,0,4
0.0,0,17,9,A,0,5
0.0,0,17,9,A,0,6
0.0,0,17,9,A,0,7
0.0,0,17,9,A,0,8
0.0,0,17,9,A,0,9
0.0,0,17,9,A,0,10
0.0,0,17,9,A,0,11
0.0,0,17,10,C,1,0
0.0,0,17,10,C,1,1
0.0,0,17,10,C,1,2
0.0,0,17,10,C,1,3
0.4807481685287128,0,17,10,C,1,4
0.8040478765933871,0,17,10,C,1,5
0.4807481685287128,0,17,10,C,1,6
0.0,0,17,10,C,1,7
0.0,0,17,10,C,1,8
0.0,0,17,10,C,1,9
0.0,0,17,10,C,1,10
1.252762968495368,0,17,11,B,0,0
1.9218125974762528,0,17,11,B,0,1
2.03688192726104,0,17,11,B,0,2
1.33828514193353,0,17,11,B,0,3
0.4855078157817008,0,17,11,B,0,4
0.5693089171410823,0,17,11,B,0,5
0.6466271649250525,0,17,11,B,0,6
0.3746934494414107,0,17,11,B,0,7
1.252762968495368,0,17,11,B,0,8
1.791759469228055,0,17,11,B,0,9
1.252762968495368,0,17,11,B,0,10
0.0,0,17,11,B,0,11
2.1400661634962708,0,17,12,A,0,0
1.252762968495368,0,17,12,A,0,1
0.0,0,17,12,A,0,2
0.0,0,17,12,A,0,3
0.0,0,17,12,A,0,4
0.0,0,17,12,A,0,5
0.0,0,17,12,A,0,6
1.791759469228055,0,17,12,A,0,7
2.3978952727983707,0,17,12,A,0,8
1.791759469228055,0,17,12,A,0,9
0.0,0,17,12,A,0,10
0.0,0,17,12,A,0,11
2.1400661634962708,0,17,13,C,0,0
1.252762968495368,0,17,13,C,0,1
0.0,0,17,13,C,0,2
0.9315582040049435,0,17,13,C,0,3
1.405342556090585,0,17,13,C,0,4
1.6171007851796697,0,17,13,C,0,5
1.791759469228055,0,17,13,C,0,6
1.252762968495368,0,17,13,C,0,7
1.252762968495368,0,17,13,C,0,8
1.791759469228055,0,17,13,C,0,9
1.252762968495368,0,17,13,C,0,10
0.0,0,17,13,C,0,11
0.0,0,17,14,B,0,0
0.0,0,17,14,B,0,1
0.0,0,17,14,B,0,2
0.0,0,17,14,B,0,3
0.0,0,17,14,B,0,4
0.0,0,17,14,B,0,5
0.0,0,17,14,B,0,6
0.0,0,17,14,B,0,7
0.0,0,17,14,B,0,8
0.0,0,17,14,B,0,9
1.252762968495368,0,17,14,B,0,10
2.1400661634962708,0,17,14,B,0,11
2.1400661634962708,0,17,15,C,1,0
1.9810014688665833,0,17,15,C,1,1
1.252762968495368,0,17,15,C,1,2
0.3053816495511819,0,17,15,C,1,3
0.8498456324660023,0,17,15,C,1,4
0.958254930973187,0,17,15,C,1,5
0.4855078157817008,0,17,15,C,1,6
1.252762968495368,0,17,15,C,1,7
2.3978952727983707,0,17,15,C,1,8
2.917770732084279,0,17,15,C,1,9
3.1570004211501135,0,17,15,C,1,11
0.6254290065049944,0,17,16,A,0,0
0.6017974019717175,0,17,16,A,0,1
0.3053816495511819,0,17,16,A,0,2
0.0,0,17,16,A,0,3
0.0,0,17,16,A,0,4
0.0,0,17,16,A,0,5
0.0,0,17,16,A,0,6
0.0,0,17,16,A,0,7
0.0,0,17,16,A,0,8
0.0,0,17,16,A,0,9
0.0,0,17,16,A,0,10
0.0,0,17,16,A,0,11
0.0,0,17,17,B,0,0
0.0,0,17,17,B,0,1
0.0,0,17,17,B,0,2
0.0,0,17,17,B,0,3
0.0,0,17,17,B,0,4
0.3746934494414107,0,17,17,B,0,5
1.0088422892394002,0,17,17,B,0,6
1.1382214267631554,0,17,17,B,0,7
1.4663370687934272,0,17,17,B,0,8
1.791759469228055,0,17,17,B,0,9
1.252762968495368,0,17,17,B,0,10
0.0,0,17,17,B,0,11
1.791759469228055,0,17,18,C,0,0
1.2992829841302609,0,17,18,C,0,1
1.5404450409471488,0,17,18,C,0,2
1.7730673362159024,0,17,18,C,0,3
1.6945957207744071,0,17,18,C,0,4
1.586965056582042,0,17,18,C,0,5
1.4663370687934272,0,17,18,C,0,6
1.4663370687934272,0,17,18,C,0,7
0.9808292530117263,0,17,18,C,0,8
0.0,0,17,18,C,0,9
0.0,0,17,18,C,0,10
0.0,0,17,18,C,0,11
1.252762968495368,0,17,19,A,0,0
1.4663370687934272,0,17,19,A,0,1
0.9808292530117263,0,17,19,A,0,2
0.0,0,17,19,A,0,3
0.5705448584676129,0,17,19,A,0,4
0.9315582040049435,0,17,19,A,0,5
0.5705448584676129,0,17,19,A,0,6
0.9808292530117263,0,17,19,A,0,7
1.4663370687934272,0,17,19,A,0,8
0.9808292530117263,0,17,19,A,0,9
0.0,0,17,19,A,0,10
0.0,0,17,19,A,0,11
0.0,0,17,20,C,0,0
0.0,0,17,20,C,0,1
0.0,0,17,20,C,0,2
0.0,0,17,20,C,0,3
0.0,0,17,20,C,0,4
0.27193371548364176,0,17,20,C,0,5
1.4170660197866443,0,17,20,C,0,6
1.8425317946014783,0,17,20,C,0,7
1.791759469228055,0,17,20,C,0,8
1.791759469228055,0,17,20,C,0,9
1.252762968495368,0,17,20,C,0,10
0.0,0,17,20,C,0,11
0.0,0,17,21,A,0,0
1.252762968495368,0,17,21,A,0,1
1.791759469228055,0,17,21,A,0,2
1.252762968495368,0,17,21,A,0,3
0.0,0,17,21,A,0,4
0.0,0,17,21,A,0,5
0.0,0,17,21,A,0,6
0.0,0,17,21,A,0,7
0.0,0,17,21,A,0,8
0.0,0,17,21,A,0,9
0.0,0,17,21,A,0,10
0.0,0,17,21,A,0,11
2.339399066116762,0,17,22,B,0,0
2.1400661634962708,0,17,22,B,0,1
2.277267285009756,0,17,22,B,0,2
2.1400661634962708,0,17,22,B,0,3
1.55814461804655,0,17,22,B,0,4
1.5040773967762742,0,17,22,B,0,5
1.4469189829363254,0,17,22,B,0,6
0.6931471805599453,0,17,22,B,0,7
0.0,0,17,22,B,0,8
0.0,0,17,22,B,0,9
0.0,0,17,22,B,0,10
0.0,0,17,22,B,0,11
2.1400661634962708,0,17,23,B,0,0
1.252762968495368,0,17,23,B,0,1
0.0,0,17,23,B,0,2
0.0,0,17,23,B,0,3
0.0,0,17,23,B,0,4
1.791759469228055,0,17,23,B,0,5
2.772588722239781,0,17,23,B,0,6
2.772588722239781,0,17,23,B,0,7
2.1400661634962708,0,17,23,B,0,9
1.791759469228055,0,17,23,B,0,10
1.55814461804655,0,17,23,B,0,11
1.55814461804655,0,17,24,C,1,0
0.8109302162163288,0,17,24,C,1,1
0.9808292530117263,0,17,24,C,1,2
1.4663370687934272,0,17,24,C,1,3
1.1339289605930096,0,17,24,C,1,4
1.2666713985415,0,17,24,C,1,5
1.563291309798319,0,17,24,C,1,6
0.9808292530117263,0,17,24,C,1,7
0.8109302162163288,0,17,24,C,1,8
1.252762968495368,0,17,24,C,1,9
1.9810014688665833,0,17,24,C,1,10
2.772588722239781,0,17,24,C,1,11
0.0,0,17,25,A,0,0
1.791759469228055,0,17,25,A,0,1
2.3978952727983707,0,17,25,A,0,2
1.791759469228055,0,17,25,A,0,3
0.7672551527136674,0,17,25,A,0,4
1.1962507582320259,0,17,25,A,0,5
1.967650135691719,0,17,25,A,0,6
2.3978952727983707,0,17,25,A,0,7
1.791759469228055,0,17,25,A,0,8
0.0,0,17,25,A,0,9
0.0,0,17,25,A,0,10
0.0,0,17,25,A,0,11
1.0986122886681098,0,17,26,B,0,0
0.5108256237659906,0,17,26,B,0,1
1.329135947279942,0,17,26,B,0,2
2.10684051586795,0,17,26,B,0,3
2.072472872363743,0,17,26,B,0,4
1.586965056582042,0,17,26,B,0,5
1.0799201556559572,0,17,26,B,0,6
0.4418327522790391,0,17,26,B,0,7
0.0,0,17,26,B,0,8
0.0,0,17,26,B,0,9
0.0,0,17,26,B,0,10
0.0,0,17,26,B,0,11
1.8718021769015913,0,17,27,A,0,0
1.6739764335716716,0,17,27,A,0,1
0.9808292530117263,0,17,27,A,0,2
0.28768207245178085,0,17,27,A,0,3
0.5108256237659906,0,17,27,A,0,4
0.28768207245178085,0,17,27,A,0,5
1.252762968495368,0,17,27,A,0,6
2.3978952727983707,0,17,27,A,0,7
2.6026896854443837,0,17,27,A,0,8
1.791759469228055,0,17,27,A,0,9
0.0,0,17,27,A,0,10
0.0,0,17,27,A,0,11
2.277267285009756,0,17,28,C,0,0
2.8716796248840124,0,17,28,C,0,1
3.1570004211501135,0,17,28,C,0,2
