Allo-,Ego,Allo+,Ts exit,Ts entry,Alley-,Inter,Alley+
4,2,1,6187416751.0,6187782868.0,8,G,5
3,2,4,6189317762.0,6189383792.0,5,G,12
4,1,4,6190151050.0,6190485598.0,12,F,1
2,2,3,6191786018.0,6191952923.0,1,F,14
3,4,2,6193154791.0,6193523399.0,14,J,13
2,1,2,6204399672.0,6204900148.0,13,K,10
4,2,1,6208637496.0,6208770487.0,10,K,11
1,2,2,6210139143.0,6212241202.0,11,G,8
2,2,3,6214709975.0,6215144408.0,8,H,9
3,2,4,6216244779.0,6216377312.0,9,L,10
4,1,4,6223518022.0,6223852896.0,10,K,13
4,2,1,6244939328.0,6245140545.0,13,J,14
1,2,2,6247375627.0,6247641908.0,14,F,12
4,2,1,6249044573.0,6249478439.0,12,F,3
3,2,4,6252747684.0,6252847463.0,3,F,1
4,2,1,6253982694.0,6254049745.0,1,E,2
1,2,2,6254817570.0,6254950156.0,2,A,0
2,1,2,6255284039.0,6255584913.0,0,B,4
2,1,2,6256485718.0,6256717705.0,4,C,6
2,2,3,6265560215.0,6265826483.0,6,D,7
3,2,4,6267263298.0,6267396240.0,7,H,8
4,2,1,6268864457.0,6269064085.0,8,G,5
3,2,4,6270164435.0,6270199102.0,5,G,12
2,2,3,6271701737.0,6271766614.0,12,G,11
1,2,2,6273168769.0,6273302380.0,11,G,8
4,2,1,6275235451.0,6275504302.0,8,G,5
3,2,4,6277973209.0,6278040028.0,5,G,12
4,1,4,6278674505.0,6278940800.0,12,F,1
4,2,1,6281076045.0,6281143247.0,1,E,2
1,2,2,6281842901.0,6282010527.0,2,A,0
2,1,2,6282343934.0,6282610372.0,0,B,4
2,1,2,6283513090.0,6283778493.0,4,C,6
4,4,3,6284745976.0,6284915015.0,6,C,5
3,2,4,6285946792.0,6286146486.0,5,G,12
2,2,3,6287482643.0,6288017114.0,12,G,11
3,2,4,6288849716.0,6288950514.0,11,K,13
4,2,1,6293788846.0,6293989843.0,13,J,14
1,2,2,6302797184.0,6303398029.0,14,F,12
2,1,2,6304733287.0,6305100180.0,12,G,8
2,2,3,6306535047.0,6309304469.0,8,H,9
3,2,4,6312574387.0,6312742114.0,9,L,10
4,1,4,6313341857.0,6313608622.0,10,K,13
4,2,1,6316677670.0,6316845509.0,13,J,14
1,1,1,6319181107.0,6319414594.0,14,F,3
1,2,2,6319981122.0,6320248231.0,3,B,4
2,1,2,6321149137.0,6321550646.0,4,C,6
4,4,3,6322516652.0,6322650652.0,6,C,5
3,1,3,6323451273.0,6323884424.0,5,G,11
3,2,4,6324919983.0,6325055037.0,11,K,13
4,2,1,6325620070.0,6334363013.0,13,J,14
1,2,2,6339367361.0,6340068314.0,14,F,12
2,1,2,6358453127.0,6360220873.0,12,G,8
2,2,3,6361521718.0,6361989914.0,8,H,9
3,2,4,6364493465.0,6364593898.0,9,L,10
4,1,4,6365060019.0,6365427934.0,10,K,13
4,2,1,6382277314.0,6382445017.0,13,J,14
1,1,1,6384213224.0,6384446629.0,14,F,3
1,2,2,6385246858.0,6385515222.0,3,B,4
2,3,4,6387148411.0,6387748842.0,4,C,4
2,3,4,6389150024.0,6390385589.0,4,C,4
2,1,2,6392553327.0,6392887561.0,4,C,6
2,2,3,6394122836.0,6394355995.0,6,D,7
3,2,4,6400228805.0,6400662952.0,7,H,8
4,2,1,6402331926.0,6402632573.0,8,G,5
3,2,4,6403966651.0,6403998150.0,5,G,12
4,1,4,6405835283.0,6406234642.0,12,F,1
2,4,1,6407703502.0,6407969675.0,1,F,3
1,2,2,6408770462.0,6408971251.0,3,B,4
4,1,4,6409972403.0,6410571784.0,4,B,0
2,2,3,6412807794.0,6413073539.0,0,B,3
3,1,3,6413540606.0,6413775595.0,3,F,14
3,4,2,6415945118.0,6416276964.0,14,J,13
4,2,1,6421882558.0,6421949965.0,13,J,14
1,1,1,6422651691.0,6422852382.0,14,F,3
1,2,2,6423585091.0,6423852174.0,3,B,4
2,1,2,6425154172.0,6425387379.0,4,C,6
2,2,3,6426454709.0,6426655245.0,6,D,7
3,1,3,6427956334.0,6428356564.0,7,H,9
3,2,4,6435164773.0,6443572450.0,9,L,10
4,1,4,6446775236.0,6447641739.0,10,K,13
4,2,1,6451913334.0,6452047081.0,13,J,14
1,2,2,6453914192.0,6454583812.0,14,F,12
2,1,2,6455849658.0,6456218407.0,12,G,8
2,2,3,6457586693.0,6457987540.0,8,H,9
3,2,4,6458889108.0,6459020376.0,9,L,10
4,1,4,6464759812.0,6465526788.0,10,K,13
4,2,1,6466928758.0,6467162225.0,13,J,14
3,2,4,6468596697.0,6468729362.0,14,J,15
4,2,1,6469663199.0,6469764422.0,15,I,16
1,1,1,6470265531.0,6470499495.0,16,E,2
1,2,2,6471565751.0,6471633211.0,2,A,0
2,1,2,6472067015.0,6472366565.0,0,B,4
2,1,2,6473568239.0,6474203294.0,4,C,6
2,2,3,6475104842.0,6483444252.0,6,D,7
3,2,4,6486481898.0,6486881413.0,7,H,8
4,2,1,6489583696.0,6489750376.0,8,G,5
3,2,4,6491651913.0,6491719438.0,5,G,12
4,1,4,6493322385.0,6497157879.0,12,F,1
4,2,1,6504900180.0,6505098740.0,1,E,2
1,2,2,6509839739.0,6510039456.0,2,A,0
2,1,2,6510872376.0,6511172841.0,0,B,4
2,1,2,6512074263.0,6512373477.0,4,C,6
2,2,3,6513307921.0,6513542200.0,6,D,7
3,1,3,6514509907.0,6514875883.0,7,H,9
3,2,4,6516477058.0,6516578390.0,9,L,10
4,2,1,6527723233.0,6527889726.0,10,K,11
3,2,4,6528390046.0,6546509098.0,11,K,13
4,2,1,6549544202.0,6549744505.0,13,J,14
1,1,1,6557017579.0,6557251300.0,14,F,3
1,2,2,6558919874.0,6559119984.0,3,B,4
2,1,2,6560020814.0,6560555440.0,4,C,6
2,2,3,6561422123.0,6561589714.0,6,D,7
3,1,3,6562657358.0,6563057397.0,7,H,9
3,2,4,6564659506.0,6574469686.0,9,L,10
4,1,4,6577672243.0,6577939123.0,10,K,13
4,2,1,6579208283.0,6579373383.0,13,J,14
1,1,1,6580574935.0,6580775927.0,14,F,3
1,2,2,6581476201.0,6581710311.0,3,B,4
2,1,2,6582609431.0,6582910976.0,4,C,6
2,2,3,6583944588.0,6584079365.0,6,D,7
3,1,3,6585380083.0,6585779961.0,7,H,9
1,4,4,6586847918.0,6586981403.0,9,H,8
4,2,1,6587548435.0,6587782623.0,8,G,5
3,2,4,6589084018.0,6589184025.0,5,G,12
4,2,1,6604298333.0,6604533725.0,12,F,3
3,2,4,6605234042.0,6605600234.0,3,F,1
4,2,1,6606235196.0,6606335790.0,1,E,2
1,2,2,6612707447.0,6612941570.0,2,A,0
2,1,2,6613342138.0,6613707723.0,0,B,4
2,1,2,6614775361.0,6615009885.0,4,C,6
2,2,3,6622583769.0,6622884198.0,6,D,7
3,1,3,6624218678.0,6624652189.0,7,H,9
1,4,4,6625254342.0,6625519849.0,9,H,8
4,2,1,6626788204.0,6627022266.0,8,G,5
3,2,4,6628189321.0,6628255976.0,5,G,12
4,1,4,6629324230.0,6629657465.0,12,F,1
4,2,1,6631025707.0,6631059664.0,1,E,2
3,1,3,6632460398.0,6632862184.0,2,E,16
1,2,2,6634195994.0,6634329272.0,16,E,1
2,2,3,6635195733.0,6635630258.0,1,F,14
1,2,2,6643739043.0,6644406108.0,14,F,12
2,1,2,6645407031.0,6645775382.0,12,G,8
2,2,3,6646974285.0,6647476635.0,8,H,9
3,2,4,6648477041.0,6657886634.0,9,L,10
4,1,4,6661021961.0,6661791511.0,10,K,13
4,2,1,6662723783.0,6662857053.0,13,J,14
1,1,1,6665192588.0,6665459895.0,14,F,3
1,2,2,6666259923.0,6666527470.0,3,B,4
2,1,2,6667629036.0,6667962688.0,4,C,6
2,2,3,6669362273.0,6675970385.0,6,D,7
3,1,3,6679039691.0,6679508509.0,7,H,9
3,2,4,6681243356.0,6681341454.0,9,L,10
4,1,4,6682143184.0,6682411053.0,10,K,13
4,2,1,6684445501.0,6684546384.0,13,J,14
1,1,1,6686481022.0,6686816568.0,14,F,3
3,2,4,6688450450.0,6688548813.0,3,F,1
2,4,1,6700461771.0,6700961541.0,1,F,3
3,4,2,6701362431.0,6701430449.0,3,F,12
2,2,3,6703332426.0,6703765264.0,12,G,11
1,2,2,6704899905.0,6704934581.0,11,G,8
2,2,3,6705834486.0,6714643405.0,8,H,9
3,2,4,6715911270.0,6716078257.0,9,L,10
4,1,4,6722916942.0,6723251628.0,10,K,13
4,2,1,6724685460.0,6724853594.0,13,J,14
1,1,1,6726186794.0,6726520900.0,14,F,3
1,2,2,6727121377.0,6727321392.0,3,B,4
2,1,2,6728489950.0,6728789534.0,4,C,6
2,2,3,6729890449.0,6734028456.0,6,D,7
3,1,3,6737132428.0,6737466206.0,7,H,9
1,4,4,6738299396.0,6738499571.0,9,H,8
4,2,1,6739667361.0,6739901005.0,8,G,5
3,2,4,6745706552.0,6745740382.0,5,G,12
4,2,1,6747007976.0,6747041738.0,12,F,3
3,2,4,6747374445.0,6747508535.0,3,F,1
4,2,1,6748642733.0,6748709311.0,1,E,2
1,2,2,6749744515.0,6749844727.0,2,A,0
2,1,2,6750680673.0,6750979432.0,0,B,4
2,1,2,6755149775.0,6755584816.0,4,C,6
2,2,3,6756686165.0,6756885186.0,6,D,7
3,1,3,6757918892.0,6758485977.0,7,H,9
3,2,4,6759453583.0,6759554119.0,9,L,10
4,1,4,6760154288.0,6760454467.0,10,K,13
4,2,1,6761589831.0,6761755283.0,13,J,14
1,1,1,6770764965.0,6771099601.0,14,F,3
1,2,2,6771766131.0,6771999627.0,3,B,4
2,1,2,6773067153.0,6774268947.0,4,C,6
