Allo-,Ego,Allo+,Ts exit,Ts entry,Alley-,Inter,Alley+
2,1,2,3851150202.0,3851682859.0,4,C,6
2,2,3,3852417490.0,3854786465.0,6,D,7
3,1,3,3857956376.0,3858289466.0,7,H,9
3,2,4,3859525585.0,3859623461.0,9,L,10
4,1,4,3860292268.0,3860525511.0,10,K,13
4,2,1,3867467007.0,3867666223.0,13,J,14
1,1,1,3874272766.0,3874505352.0,14,F,3
1,2,2,3875039117.0,3875206174.0,3,B,4
2,1,2,3875874334.0,3876107993.0,4,C,6
2,2,3,3877241244.0,3877507926.0,6,D,7
3,2,4,3882014711.0,3882581902.0,7,H,8
2,2,3,3884649397.0,3884715968.0,8,H,9
3,2,4,3886050454.0,3886184640.0,9,L,10
4,1,4,3887052297.0,3888754098.0,10,K,13
4,2,1,3891922450.0,3892090333.0,13,J,14
1,1,1,3895025991.0,3895293606.0,14,F,3
1,2,2,3895961619.0,3896127436.0,3,B,4
2,1,2,3896795230.0,3897027251.0,4,C,6
2,2,3,3898028813.0,3898263051.0,6,D,7
3,2,4,3899764755.0,3899965649.0,7,H,8
4,2,1,3901666407.0,3901801408.0,8,G,5
3,2,4,3903168896.0,3903234331.0,5,G,12
2,2,3,3917583828.0,3917748727.0,12,G,11
3,2,4,3919519335.0,3919618110.0,11,K,13
4,2,1,3922821300.0,3922987999.0,13,J,14
1,1,1,3925891126.0,3927091414.0,14,F,3
3,2,4,3929159796.0,3929226824.0,3,F,1
4,2,1,3930861731.0,3931061830.0,1,E,2
1,2,2,3935166585.0,3935332151.0,2,A,0
2,1,2,3935967138.0,3936167537.0,0,B,4
2,1,2,3937301800.0,3938201885.0,4,C,6
2,2,3,3943441236.0,3943743365.0,6,D,7
3,1,3,3945009915.0,3945343816.0,7,H,9
3,2,4,3946445529.0,3946545105.0,9,L,10
4,1,4,3947446054.0,3947678996.0,10,K,13
4,2,1,3951816754.0,3952582916.0,13,J,14
1,1,1,3955954483.0,3956220237.0,14,F,3
1,2,2,3956788663.0,3956955285.0,3,B,4
2,1,2,3957656493.0,3957889066.0,4,C,6
4,4,3,3958922694.0,3959056373.0,6,C,5
3,2,4,3960291375.0,3960359202.0,5,G,12
4,1,4,3972271637.0,3973137755.0,12,F,1
4,2,1,3975006382.0,3975273394.0,1,E,2
1,2,2,3976140027.0,3976241035.0,2,A,0
2,1,2,3976808983.0,3977008285.0,0,B,4
2,2,3,3978143084.0,3981012110.0,4,C,5
1,4,4,3981612907.0,3983247855.0,5,C,4
2,1,2,3986385107.0,3986652214.0,4,C,6
4,4,3,3987951789.0,3987986030.0,6,C,5
3,2,4,3988852868.0,3989020077.0,5,G,12
2,2,3,3990288663.0,3990355045.0,12,G,11
1,2,2,3991756855.0,3991890950.0,11,G,8
2,2,3,3992725409.0,3993091276.0,8,H,9
3,2,4,3994293190.0,3996160414.0,9,L,10
4,1,4,4005636405.0,4006037396.0,10,K,13
4,2,1,4014445330.0,4014612250.0,13,J,14
1,2,2,4021886592.0,4025456443.0,14,F,12
4,2,1,4035000325.0,4036368031.0,12,F,3
3,2,4,4037468408.0,4038169738.0,3,F,1
4,2,1,4038969908.0,4039037640.0,1,E,2
1,2,2,4039870154.0,4040004658.0,2,A,0
2,1,2,4040371232.0,4040638682.0,0,B,4
2,2,3,4041273358.0,4041940690.0,4,C,5
3,2,4,4042806487.0,4043042101.0,5,G,12
2,2,3,4044141080.0,4044275699.0,12,G,11
3,2,4,4045209611.0,4045444041.0,11,K,13
4,2,1,4047111406.0,4047311312.0,13,J,14
1,2,2,4050781883.0,4050981886.0,14,F,12
1,0,0,4051783877.0,4097127535.0,12,0,2
1,2,2,4098696798.0,4098762812.0,2,A,0
2,1,2,4099363698.0,4099597776.0,0,B,4
4,1,4,4100665313.0,4101265203.0,4,B,0
2,2,3,4102634210.0,4102701620.0,0,B,3
3,2,4,4103234301.0,4103469071.0,3,F,1
4,2,1,4104236138.0,4104301601.0,1,E,2
1,2,2,4105736344.0,4105903950.0,2,A,0
2,1,2,4106337517.0,4106538367.0,0,B,4
2,2,3,4107104485.0,4107672084.0,4,C,5
3,2,4,4108272534.0,4108407692.0,5,G,12
2,2,3,4109708270.0,4109808476.0,12,G,11
1,2,2,4110709631.0,4110809769.0,11,G,8
2,2,3,4111410316.0,4111842730.0,8,H,9
3,2,4,4112876945.0,4117180747.0,9,L,10
4,1,4,4120484188.0,4120718637.0,10,K,13
4,2,1,4121486584.0,4121653273.0,13,J,14
1,1,1,4130494950.0,4130860268.0,14,F,3
3,2,4,4131996060.0,4132096329.0,3,F,1
4,2,1,4132796552.0,4132897675.0,1,E,2
1,2,2,4134099131.0,4134198779.0,2,A,0
2,1,2,4134899250.0,4135098989.0,0,B,4
2,2,3,4135800216.0,4136301087.0,4,C,5
3,2,4,4137603318.0,4137736228.0,5,G,12
4,2,1,4139637945.0,4139738019.0,12,F,3
3,2,4,4140404110.0,4140504887.0,3,F,1
4,2,1,4141472734.0,4141540134.0,1,E,2
1,2,2,4142341022.0,4142406635.0,2,A,0
2,1,2,4143307700.0,4143542894.0,0,B,4
2,2,3,4144176551.0,4144476097.0,4,C,5
3,1,3,4145409598.0,4145676751.0,5,G,11
3,2,4,4146445648.0,4146577877.0,11,K,13
4,2,1,4152250082.0,4152550531.0,13,J,14
1,2,2,4154753025.0,4155286021.0,14,F,12
2,1,2,4156353951.0,4156654471.0,12,G,8
2,2,3,4157088922.0,4157555074.0,8,H,9
3,2,4,4158457169.0,4158623273.0,9,L,10
4,1,4,4159491263.0,4159691299.0,10,K,13
4,2,1,4161526044.0,4161693843.0,13,J,14
1,1,1,4167832987.0,4168166009.0,14,F,3
1,2,2,4168733603.0,4168899928.0,3,B,4
2,2,3,4169567233.0,4169868834.0,4,C,5
3,1,3,4170701754.0,4171001247.0,5,G,11
1,2,2,4172569924.0,4172704455.0,11,G,8
2,2,3,4191055098.0,4191490079.0,8,H,9
3,2,4,4192689794.0,4192790193.0,9,L,10
4,2,1,4196926804.0,4197126780.0,10,K,11
1,2,2,4198394973.0,4198662308.0,11,G,8
4,2,1,4218383093.0,4219649122.0,8,G,5
3,2,4,4222353947.0,4222452792.0,5,G,12
4,1,4,4223687968.0,4224088505.0,12,F,1
4,2,1,4225290111.0,4225356671.0,1,E,2
1,2,2,4226223482.0,4226290912.0,2,A,0
2,1,2,4226891097.0,4227091184.0,0,B,4
2,2,3,4227758773.0,4227926172.0,4,C,5
1,2,2,4228960018.0,4229059407.0,5,C,6
2,2,3,4234398922.0,4240738774.0,6,D,7
3,2,4,4243841871.0,4244175007.0,7,H,8
2,2,3,4260058696.0,4260224234.0,8,H,9
3,2,4,4261391183.0,4261559889.0,9,L,10
4,2,1,4262326717.0,4262525590.0,10,K,11
1,1,1,4263561676.0,4263827700.0,11,G,5
1,2,2,4264362078.0,4264562998.0,5,C,6
2,2,3,4272136194.0,4272469350.0,6,D,7
3,2,4,4273571840.0,4273838086.0,7,H,8
4,2,1,4275839735.0,4275907078.0,8,G,5
3,2,4,4277274990.0,4277308513.0,5,G,12
4,1,4,4278609123.0,4279176801.0,12,F,1
4,2,1,4280278244.0,4280344877.0,1,E,2
1,2,2,4281344965.0,4281478854.0,2,A,0
2,1,2,4282146660.0,4282345129.0,0,B,4
2,1,2,4294324363.0,4294693555.0,4,C,6
4,4,3,4295793146.0,4295893970.0,6,C,5
3,2,4,4296728025.0,4296894181.0,5,G,12
4,2,1,4297828664.0,4298196218.0,12,F,3
3,2,4,4299395605.0,4299463302.0,3,F,1
4,2,1,4300130543.0,4300198990.0,1,E,2
1,2,2,4301164063.0,4301264762.0,2,A,0
2,1,2,4301699527.0,4301965405.0,0,B,4
2,1,2,4303233172.0,4304768686.0,4,C,6
2,2,3,4306870903.0,4310574820.0,6,D,7
3,1,3,4313744364.0,4314213589.0,7,H,9
3,2,4,4316079971.0,4316214330.0,9,L,10
4,1,4,4317014736.0,4317281036.0,10,K,13
4,2,1,4325021906.0,4325123797.0,13,J,14
3,2,4,4330994945.0,4331095611.0,14,J,15
4,2,1,4332195779.0,4332330139.0,15,I,16
1,1,1,4332697316.0,4332863723.0,16,E,2
1,2,2,4333363981.0,4333463947.0,2,A,0
2,1,2,4333832219.0,4334097089.0,0,B,4
2,2,3,4334898462.0,4335134160.0,4,C,5
3,2,4,4337067421.0,4337136195.0,5,G,12
4,1,4,4338602702.0,4339336444.0,12,F,1
4,2,1,4340170351.0,4340203334.0,1,E,2
1,2,2,4341071081.0,4341138916.0,2,A,0
2,1,2,4341605747.0,4341839193.0,0,B,4
2,1,2,4342439818.0,4342740284.0,4,C,6
4,4,3,4343773968.0,4343874183.0,6,C,5
3,1,3,4344375412.0,4344575342.0,5,G,11
1,2,2,4345743721.0,4351014964.0,11,G,8
4,2,1,4366331413.0,4366564899.0,8,G,5
3,2,4,4366864277.0,4366932092.0,5,G,12
4,2,1,4368766900.0,4369099952.0,12,F,3
3,2,4,4369799485.0,4369867594.0,3,F,1
4,2,1,4371268501.0,4371335805.0,1,E,2
1,2,2,4372336060.0,4372403432.0,2,A,0
2,1,2,4372869565.0,4373103299.0,0,B,4
2,1,2,4373838189.0,4374305320.0,4,C,6
4,4,3,4374973754.0,4375038549.0,6,C,5
3,1,3,4375640447.0,4375840257.0,5,G,11
3,2,4,4376439946.0,4376506370.0,11,K,13
4,2,1,4393691547.0,4393991434.0,13,J,14
1,1,1,4395592976.0,4395825648.0,14,F,3
1,2,2,4396360705.0,4396527497.0,3,B,4
2,1,2,4397895116.0,4398228778.0,4,C,6
2,2,3,4399430326.0,4406771132.0,6,D,7
3,1,3,4409840486.0,4410340444.0,7,H,9
3,2,4,4411241386.0,4411341340.0,9,L,10
4,1,4,4412209852.0,4412443591.0,10,K,13
4,2,1,4416346031.0,4416513945.0,13,J,14
1,2,2,4433998117.0,4434197805.0,14,F,12
2,1,2,4435199205.0,4435833598.0,12,G,8
4,2,1,4437702172.0,4438168436.0,8,G,5
3,2,4,4440171182.0,4440237233.0,5,G,12
4,1,4,4441304719.0,4441671627.0,12,F,1
4,2,1,4458556219.0,4458656349.0,1,E,2
1,2,2,4464894977.0,4465095824.0,2,A,0
2,1,2,4465463012.0,4465729925.0,0,B,4
2,2,3,4466429806.0,4466630773.0,4,C,5
3,2,4,4468332853.0,4468465790.0,5,G,12
2,2,3,4469533078.0,4469633973.0,12,G,11
3,2,4,4470167763.0,4470301323.0,11,K,13
4,2,1,4472002005.0,4472136052.0,13,J,14
3,2,4,4479843362.0,4479877325.0,14,J,15
4,2,1,4481144432.0,4481245050.0,15,I,16
1,1,1,4481545234.0,4481713219.0,16,E,2
1,2,2,4482412293.0,4482479671.0,2,A,0
2,1,2,4483079636.0,4483280805.0,0,B,4
2,3,4,4484882412.0,4489353028.0,4,C,4
2,1,2,4489920780.0,4490353872.0,4,C,6
2,2,3,4491755639.0,4495893363.0,6,D,7
3,1,3,4498896579.0,4502800443.0,7,H,9
3,2,4,4506069758.0,4506237029.0,9,L,10
4,1,4,4507137199.0,4507337267.0,10,K,13
4,2,1,4508271627.0,4508371744.0,13,J,14
1,1,1,4510173956.0,4510508615.0,14,F,3
1,2,2,4511174406.0,4511408664.0,3,B,4
2,3,4,4513577955.0,4518249234.0,4,C,4
2,1,2,4519150211.0,4519449214.0,4,C,6
2,2,3,4521251482.0,4521519042.0,6,D,7
3,1,3,4522853604.0,4523220882.0,7,H,9
3,2,4,4524621977.0,4524723051.0,9,L,10
4,1,4,4525423288.0,4525622715.0,10,K,13
4,2,1,4526623985.0,4526756136.0,13,J,14
1,1,1,4528325193.0,4528526150.0,14,F,3
1,2,2,4528892982.0,4529059245.0,3,B,4
2,1,2,4529893968.0,4530193853.0,4,C,6
4,4,3,4531294560.0,4531396308.0,6,C,5
3,2,4,4532195998.0,4532663724.0,5,G,12
4,1,4,4533998970.0,4534498474.0,12,F,1
4,2,1,4549446108.0,4549479420.0,1,E,2
1,2,2,4553816972.0,4553984712.0,2,A,0
2,1,2,4554384519.0,4554685135.0,0,B,4
2,3,4,4556186662.0,4559689267.0,4,C,4
2,2,3,4560023210.0,4560723909.0,4,C,5
3,1,3,4561458719.0,4561692360.0,5,G,11
3,2,4,4563160668.0,4563327783.0,11,K,13
4,2,1,4564393969.0,4564494955.0,13,J,14
1,1,1,4580143768.0,4580410484.0,14,F,3
3,2,4,4583681054.0,4583780609.0,3,F,1
4,2,1,4585615028.0,4585683357.0,1,E,2
1,2,2,4586484793.0,4586551204.0,2,A,0
